id,name,bundesland,ags,ars,kommunaltyp,verwaltungstyp,parent_id,nuts_code,lau_code
6659,Binz,Mecklenburg-Vorpommern,13073011,130730011011,GEMEINDE,Gemeindeverwaltung,,,
2688,Oberboihingen,Baden-Württemberg,08116050,081165005050,GEMEINDE,Gemeindeverwaltung,,,
2024,Bickenbach (DA),Hessen,06432003,064320003003,GEMEINDE,Gemeindeverwaltung,,,
7830,Unstrut-Hainich,Thüringen,16064076,160645054076,GEMEINDE,Gemeindeverwaltung,,,
2176,Limeshain,Hessen,06440014,064400014014,GEMEINDE,Gemeindeverwaltung,,,
5337,Eltmann,Bayern,09674133,096740133133,GEMEINDE,Gemeindeverwaltung,,,
2203,Rabenau (GI),Hessen,06531015,065310015015,GEMEINDE,Gemeindeverwaltung,,,
2994,Hambrücken,Baden-Württemberg,08215029,082155003029,GEMEINDE,Gemeindeverwaltung,,,
8275,Ronneburg (GRZ),Thüringen,16076061,160760061061,GEMEINDE,Gemeindeverwaltung,,,
6408,Burg Stargard,Mecklenburg-Vorpommern,13071021,130715161021,GEMEINDE,Gemeindeverwaltung,,,
3535,Dettenhausen,Baden-Württemberg,08416009,084160009009,GEMEINDE,Gemeindeverwaltung,,,
2804,Sulzbach an der Murr,Baden-Württemberg,08119075,081195004075,GEMEINDE,Gemeindeverwaltung,,,
2358,Naumburg (KS),Hessen,06633018,066330018018,GEMEINDE,Gemeindeverwaltung,,,
5134,Pommelsbrunn,Bayern,09574147,095740147147,GEMEINDE,Gemeindeverwaltung,,,
4048,Rottach-Egern,Bayern,09182129,091820129129,GEMEINDE,Gemeindeverwaltung,,,
2762,Löchgau,Baden-Württemberg,08118047,081185001047,GEMEINDE,Gemeindeverwaltung,,,
2063,Glashütten (HG),Hessen,06434003,064340003003,GEMEINDE,Gemeindeverwaltung,,,
4377,Bodenkirchen,Bayern,09274120,092740120120,GEMEINDE,Gemeindeverwaltung,,,
3048,Adelsheim,Baden-Württemberg,08225001,082255009001,GEMEINDE,Gemeindeverwaltung,,,
2119,Brensbach,Hessen,06437003,064370003003,GEMEINDE,Gemeindeverwaltung,,,
2882,Blaufelden,Baden-Württemberg,08127008,081270008008,GEMEINDE,Gemeindeverwaltung,,,
4190,Riedering,Bayern,09187167,091870167167,GEMEINDE,Gemeindeverwaltung,,,
1275,Steyerberg,Niedersachsen,03256030,032560030030,GEMEINDE,Gemeindeverwaltung,,,
4497,Triftern,Bayern,09277149,092770149149,GEMEINDE,Gemeindeverwaltung,,,
1340,Amt Neuhaus,Niedersachsen,03355049,033550049049,GEMEINDE,Gemeindeverwaltung,,,
5555,Dasing,Bayern,09771122,097715704122,GEMEINDE,Gemeindeverwaltung,,,
3076,Altlußheim,Baden-Württemberg,08226003,082265004003,GEMEINDE,Gemeindeverwaltung,,,
4766,Erbendorf,Bayern,09377116,093770116116,GEMEINDE,Gemeindeverwaltung,,,
2377,Guxhagen,Hessen,06634008,066340008008,GEMEINDE,Gemeindeverwaltung,,,
5199,Thalmässing,Bayern,09576148,095760148148,GEMEINDE,Gemeindeverwaltung,,,
7537,Rackwitz,Sachsen,14730250,147300250250,GEMEINDE,Gemeindeverwaltung,,,
6491,Röbel / Müritz,Mecklenburg-Vorpommern,13071124,130715159124,GEMEINDE,Gemeindeverwaltung,,,
3807,Piding,Bayern,09172128,091720128128,GEMEINDE,Gemeindeverwaltung,,,
2079,Brachttal,Hessen,06435005,064350005005,GEMEINDE,Gemeindeverwaltung,,,
3098,Meckesheim,Baden-Württemberg,08226049,082265002049,GEMEINDE,Gemeindeverwaltung,,,
3532,St. Johann,Baden-Württemberg,08415093,084150093093,GEMEINDE,Gemeindeverwaltung,,,
3811,Schönau am Königssee,Bayern,09172132,091720132132,GEMEINDE,Gemeindeverwaltung,,,
3994,Oberammergau,Bayern,09180125,091800125125,GEMEINDE,Gemeindeverwaltung,,,
3374,Brigachtal,Baden-Württemberg,08326075,083265004075,GEMEINDE,Gemeindeverwaltung,,,
3455,Schliengen,Baden-Württemberg,08336078,083365005078,GEMEINDE,Gemeindeverwaltung,,,
2648,Nufringen,Baden-Württemberg,08115037,081155003037,GEMEINDE,Gemeindeverwaltung,,,
5532,Rottendorf,Bayern,09679185,096790185185,GEMEINDE,Gemeindeverwaltung,,,
6624,Schwaan,Mecklenburg-Vorpommern,13072095,130725261095,GEMEINDE,Gemeindeverwaltung,,,
4772,Kemnath,Bayern,09377129,093775348129,GEMEINDE,Gemeindeverwaltung,,,
2252,Amöneburg,Hessen,06534001,065340001001,GEMEINDE,Gemeindeverwaltung,,,
4484,Kirchdorf am Inn,Bayern,09277128,092770128128,GEMEINDE,Gemeindeverwaltung,,,
